Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,ECU,"Air transport, passengers carried",IS.AIR.PSGR,762500,752300,1473900,2122400,2118700,1670900,1925200,1790600,1918800,1386700,1318518,1284922,1184098,1521249,1828303,2011004,2110423,2630759,2926821,2896528,4818305,4714115,4758406.307,5157521,5675088,5677816,5099726,5121235,5365261,4827978,1146368.544
"Egypt, Arab Rep.",EGY,"Air transport, passengers carried",IS.AIR.PSGR,3239200,2595400,3608600,2880500,3537500,3897200,4282400,4416300,3894900,4620100,4521702,4389163,4526688,4180814,4621310,4888146,4988262,5829044,6688999,6215870,9518106.013,7708160.107,9081175.146,10593780.18,10278013.11,11109554,11844962,11748510,12386010,13206889.61,4638192.256
Euro area,EMU,"Air transport, passengers carried",IS.AIR.PSGR,134459400,131411900,144488700,149322600,159931900,171988500,190436600,210002000,219023000,238927500,259579401,257007629,258285964,288282210,315899184,344015957,374599784,407969143,408980682,401882488,414887775.1,439335562.7,437876149.5,441085469.3,458429866,495116034,527688666,558725887,582704366.3,637760065.2,189424473.8
Eritrea,ERI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,53074,66927,102729,89136.81591,101357.3759,45104.031
Spain,ESP,"Air transport, passengers carried",IS.AIR.PSGR,21652000,20944600,23385800,22279400,22361300,25765700,27759200,30315700,31594100,33559400,39711776,41469789,40380629,42506835,45539952,49855007,53122464,60664991,55213716,49289158,52847712.61,52736140.93,48089178.33,48056735.82,53069339,60564041,66674868,71598374,80706703,88237165.27,26557078
Estonia,EST,"Air transport, passengers carried",IS.AIR.PSGR,,,146300,127700,157300,168600,149400,230500,297400,302000,277595,277768,304135,395485,509556,577808,598123,651323,685582,395532,582320.2028,614933,914519,627588,602880,512389,372274,13103,62802,857,
Ethiopia,ETH,"Air transport, passengers carried",IS.AIR.PSGR,620300,635600,756400,752000,716400,749900,743000,772300,789900,861400,944595,1027528,1103184,1117329,1403293,1667316,1720306,2290179,2715017,2914056,3347022,4440917.691,5001121.865,5671501,6274582,7074779,8242114,9566378,11501244,12631216,4940183
European Union,EUU,"Air transport, passengers carried",IS.AIR.PSGR,157891000,150528000,164292000,169958600,182625300,193536844.1,213329200,235129900,245065100,266190600,288449342,286388891,287161373,317807082,347767674,359471494,390742949,425646377,427781328,419908189,442721426.2,468821255.3,465108860,471018726.1,490844607.8,529467494,565289154,605233486,640084500.3,803722562.6,238987161.6
Fragile and conflict affected situations,FCS,"Air transport, passengers carried",IS.AIR.PSGR,17063700,16206500,21019000,16086900,14196000,13181200,13334300,13108200,12776100,13635200,13609296,18460325,16157126,13721057,16894044,17361186,19911702,20148599,22671508,22076716,33183814.05,39379075.23,38732387.24,38896500.17,40338413.27,39233518,39962744,41484899.05,48826506.44,47940229.15,18378797.96
Finland,FIN,"Air transport, passengers carried",IS.AIR.PSGR,4450200,3998700,3898400,3947500,4492000,5211900,5597500,6002300,6771100,6241600,6828143,6697556,6415606,6183906,7049416,7075195,7597125,8288683,7916485,7423265,8685772.868,9508050,10731828.49,10467321,10992792,13035848,13754228,12209646,13364839,14610547,3500299
Fiji,FJI,"Air transport, passengers carried",IS.AIR.PSGR,433400,413700,426000,424200,464600,494500,479600,516900,516200,549800,586043,612727,715000,972000,836719,870571,932394,960546,946138,1146591,1259009,1276205.48,1225268.562,1161936,1243824,1336976,1402765,1557876,1670216,1700293,409104
France,FRA,"Air transport, passengers carried",IS.AIR.PSGR,35963900,33127800,33963900,35625600,38170400,36020400,41252600,43400700,42232400,49536300,52581312,50476541,49305864,47258820,48543473,52477178,59537872,61551258,61214656,58318312,60864422.11,64185339.34,64683769.02,63925151,63434263,65039503,65362743,68316473,70188028,71289277,24956343
Faroe Islands,FRO,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Air transport, passengers carried",IS.AIR.PSGR,398300,436000,471400,302300,505200,508200,431300,468500,466700,423100,446688,373904,365877,385529,430873,465343,508368,535324,545640,524867,243635.529,121233.3957,42729.31947,0,,137331,77320,,,,
United Kingdom,GBR,"Air transport, passengers carried",IS.AIR.PSGR,47113600,42861200,47819400,50187900,55475500,59688800,64208500,62763200,61940200,65738296,70436030,70331725,72381196,76388660,86054762,93602879,97544631,101622807,104713553,102464509,101515720.2,111598546.1,115419920.6,118605866,124901676.1,131512994,143781714,151159067,165388610,142392528,30967519.53
Georgia,GEO,"Air transport, passengers carried",IS.AIR.PSGR,,,,,169600,176900,152400,110500,110100,158600,117521,110800,246609,303802,228560,249131,271553,304139,310222,294400,164446,222630,178363,189316,196589,232263,220448,341751,516034,509913,72906
Ghana,GHA,"Air transport, passengers carried",IS.AIR.PSGR,188100,191700,206000,152400,182500,185900,197200,210600,209800,304100,314335,301135,255630,241111,96444,,,,,,169030.9496,491583.0344,691271.9614,396372,407544,390457,359516,681691,467624,597343,321437
Gibraltar,GIB,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Air transport, passengers carried",IS.AIR.PSGR,41300,42200,23300,24200,45000,35000,36300,36300,36100,58500,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,0,0,11284,146784,151776,3036,44330,53735,104891.3948,109542.1451,
Guinea-Bissau,GNB,"Air transport, passengers carried",IS.AIR.PSGR,20500,20500,20500,20500,20500,20500,20500,20500,20400,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Air transport, passengers carried",IS.AIR.PSGR,14000,14000,14000,14000,14000,14700,14700,20900,20800,,,,,,,,,,,,25969.38236,130197.6,316620.85,401712,303024,400758,458222,496322,404301.328,425475,138898
Greece,GRC,"Air transport, passengers carried",IS.AIR.PSGR,6134600,4937000,5465500,5478100,5812900,6006000,6396000,7060800,6403400,6590700,7937434,8430333,7579225,7518932,9276954,9452219,9481314,10206223,9442743,8795133,10352657.53,9569211.419,8785275.456,8761116,11152236,11237054,12689082,13852857,15125933.52,16124738.33,5647917
Grenada,GRD,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
